codigo_ocorrencia1,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano
42425,INCIDENTE,SÃO PEDRO DO IVAÍ,PR,****,31/07/2010,31,07,2010
42506,INCIDENTE,SÃO LUÍS,MA,SBSL,31/07/2010,31,07,2010
42590,INCIDENTE,SÃO LUÍS,MA,SBSL,01/08/2010,01,08,2010
42286,INCIDENTE,CUIABÁ,MT,****,02/08/2010,02,08,2010
42446,INCIDENTE,BAURU,SP,SBAE,02/08/2010,02,08,2010
42626,INCIDENTE,CURITIBA,PR,****,02/08/2010,02,08,2010
42449,ACIDENTE,SÃO FÉLIX DO XINGU,PA,****,03/08/2010,03,08,2010
42443,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,04/08/2010,04,08,2010
42636,INCIDENTE,GOIÂNIA,GO,****,04/08/2010,04,08,2010
43035,INCIDENTE,NAVEGANTES,SC,****,04/08/2010,04,08,2010
43439,INCIDENTE,MARINGÁ,PR,****,04/08/2010,04,08,2010
42251,INCIDENTE GRAVE,PIRANHAS,GO,****,05/08/2010,05,08,2010
42323,INCIDENTE GRAVE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,05/08/2010,05,08,2010
42249,INCIDENTE,BRASÍLIA,DF,SBBR,06/08/2010,06,08,2010
42287,ACIDENTE,SANTARÉM,PA,****,06/08/2010,06,08,2010
42292,INCIDENTE,CALDAS NOVAS,GO,****,07/08/2010,07,08,2010
42303,INCIDENTE GRAVE,CALDAS NOVAS,GO,****,07/08/2010,07,08,2010
42284,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,10/08/2010,10,08,2010
42427,INCIDENTE GRAVE,PORTO ALEGRE,RS,SBPA,10/08/2010,10,08,2010
42431,INCIDENTE,NAVEGANTES,SC,****,10/08/2010,10,08,2010
42461,INCIDENTE,RECIFE,PE,SBRF,10/08/2010,10,08,2010
