codigo_reporte;nome_especie;especie_especie;tamanho_sugerido
5665;Quero-quero/tetéu;(Vanellus chilensis);M
5667;Urubus;Família Cathartidae;MG
5669;Não identificado;Não identificado;P
5671;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5673;Andorinha-doméstica-grande;(Progne chalybea);MP
5677;Urubus;Família Cathartidae;MG
5679;Carcará/carancho;(Caracara plancus);G
5681;Carcará/carancho;(Caracara plancus);G
5683;Carcará/carancho;(Caracara plancus);G
5683;Urubus;Família Cathartidae;MG
5685;Carcará/carancho;(Caracara plancus);G
5687;Urubus;Família Cathartidae;MG
5689;Não identificado;Não identificado;M
5691;Não identificado;Não identificado;
5693;Não identificado;Não identificado;M
5699;Não identificado;Não identificado;M
5701;Carcará/carancho;(Caracara plancus);G
5703;Garça-branca-pequena;(Egretta thula);M
5705;Quero-quero/tetéu;(Vanellus chilensis);M
5707;Andorinhas;família Hirundinidae;MP
5709;Não identificado;Não identificado;M
5711;Não identificado;Não identificado;G
5713;Andorinha-do-campo;Progne tapera;MP
5715;Andorinha-pequena-de-casa;(Pygochelidon cyanoleuca);MP
5717;Urubus;Família Cathartidae;MG
5719;Andorinhão-do-temporal;(Chaetura meridionalis);MP
5721;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5723;Quero-quero/tetéu;(Vanellus chilensis);M
5725;Andorinhão-do-temporal;(Chaetura meridionalis);MP
5727;Urubus;Família Cathartidae;MG
5729;Quero-quero/tetéu;(Vanellus chilensis);M
5731;Não identificado;Não identificado;
5735;Carcará/carancho;(Caracara plancus);G
5737;Não identificado;Não identificado;MP
5743;Quero-quero/tetéu;(Vanellus chilensis);M
5745;Não identificado;Não identificado;0
5747;Não identificado;Não identificado;M
5749;Quero-quero/tetéu;(Vanellus chilensis);M
5751;Não identificado;Não identificado;M
5753;Quero-quero/tetéu;(Vanellus chilensis);M
5753;Urubus;Família Cathartidae;MG
5755;Não identificado;Não identificado;M
5757;Não identificado;Não identificado;M
5761;Bem-te-vi;(Pitangus sulphuratus);P
5763;Não identificado;Não identificado;M
5765;Gaivotas;Família  Laridae;
5767;Quero-quero/tetéu;(Vanellus chilensis);M
5769;Não identificado;Não identificado;P
5771;Urubus;Família Cathartidae;MG
5779;Não identificado;Não identificado;M
5781;Urubus;Família Cathartidae;MG
5783;Corucão/tabaco-bom;(Chordeiles nacunda);P
5785;Urubus;Família Cathartidae;MG
5791;Andorinha-pequena-de-casa;(Pygochelidon cyanoleuca);MP
5793;Quero-quero/tetéu;(Vanellus chilensis);M
5795;Urubus;Família Cathartidae;MG
5799;Gaivotas;Família  Laridae;
5801;Quero-quero/tetéu;(Vanellus chilensis);M
5805;Não identificado;Não identificado;MP
5807;Quero-quero/tetéu;(Vanellus chilensis);M
5813;Não identificado;Não identificado;M
5815;xx Passeriformes pequenos;xx Passeriformes pequenos;MP
5817;Urubus;Família Cathartidae;MG
5819;Não identificado;Não identificado;M
5823;Coruja -buraqueira;(Athene cunicularia);P
5825;Carcará/carancho;(Caracara plancus);G
5825;Urubus;Família Cathartidae;MG
5827;Urubus;Família Cathartidae;MG
5829;Carcará/carancho;(Caracara plancus);G
5829;Garças;Família Ardeidae;
5833;xx Outros (morcegos);xx Outros (morcegos);
5835;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
5837;Quero-quero/tetéu;(Vanellus chilensis);M
5839;Carcará/carancho;(Caracara plancus);G
5841;Andorinhas;família Hirundinidae;MP
5843;Urubus;Família Cathartidae;MG
5845;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5847;xx Outros (morcegos);xx Outros (morcegos);MP
5851;Pombo-doméstico;(Columba livia);P
5853;Urubus;Família Cathartidae;MG
5857;Não identificado;Não identificado;M
5859;Urubus;Família Cathartidae;MG
5861;Quero-quero/tetéu;(Vanellus chilensis);M
5863;Urubus;Família Cathartidae;MG
5865;Não identificado;Não identificado;M
5871;Andorinhão-do-temporal;(Chaetura meridionalis);MP
5875;Não identificado;Não identificado;M
5879;Garça-vaqueira/cunacoi/boiadeira;(Bubulcus ibis);M
5881;Gavião-caboclo/fumaça/tinga;(Heterospizias meridionalis);G
5883;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5887;Pomba-de-bando/arribaçã/arribação;(Zenaida auriculata);P
5889;Urubus;Família Cathartidae;MG
5891;Urubus;Família Cathartidae;MG
5893;Urubus;Família Cathartidae;MG
5895;Urubus;Família Cathartidae;MG
5897;Bem- te-vis;Família Tyrannidae;MP
5899;Urubus;Família Cathartidae;MG
5901;Urubus;Família Cathartidae;MG
5903;Urubus;Família Cathartidae;MG
5905;Urubus;Família Cathartidae;0
5907;Quero-quero/tetéu;(Vanellus chilensis);M
5909;Não identificado;Não identificado;
5911;Coruja -buraqueira;(Athene cunicularia);P
5915;Urubus;Família Cathartidae;MG
5917;Não identificado;Não identificado;M
5919;Urubus;Família Cathartidae;MG
5923;xx Passeriformes pequenos;xx Passeriformes pequenos;MP
5925;Carcará/carancho;(Caracara plancus);G
5927;Não identificado;Não identificado;
5929;Gaivotas;Família  Laridae;G
5931;Não identificado;Não identificado;
5933;Não identificado;Não identificado;
5935;Não identificado;Não identificado;M
5939;Garça-branca-pequena;(Egretta thula);M
5941;Urubus;Família Cathartidae;MG
5943;Quero-quero/tetéu;(Vanellus chilensis);M
5945;Urubus;Família Cathartidae;MG
5947;Não identificado;Não identificado;
5949;Coruja -buraqueira;(Athene cunicularia);P
5951;Urubus;Família Cathartidae;MG
5953;Quero-quero/tetéu;(Vanellus chilensis);M
5955;Urubus;Família Cathartidae;MG
5957;Carcará/carancho;(Caracara plancus);G
5959;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5961;Não identificado;Não identificado;M
5963;Carcará/carancho;(Caracara plancus);G
5965;Carcará/carancho;(Caracara plancus);G
5967;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5971;Urubus;Família Cathartidae;MG
5973;Não identificado;Não identificado;M
5975;Urubus;Família Cathartidae;MG
5977;Urubus;Família Cathartidae;MG
5979;Urubus;Família Cathartidae;MG
